datetime,close,high,low
2025-04-11 16:00:00,84998.2,85401.8,82011.0
2025-04-10 16:00:00,82525.7,83317.6,78458.6
2025-04-09 16:00:00,78745.1,83584.1,77138.3
2025-04-08 16:00:00,77262.4,78526.1,74626.2
2025-04-07 16:00:00,78497.3,80859.5,77320.0
2025-04-06 16:00:00,78480.0,82560.4,74503.4
2025-04-05 16:00:00,82550.8,83782.3,82216.1
2025-04-04 16:00:00,82626.0,84615.8,82390.5
2025-04-03 16:00:00,82852.4,84724.9,81540.8
2025-04-02 16:00:00,82043.3,88513.9,81211.2
2025-04-01 16:00:00,86755.3,87332.0,83907.1
2025-03-31 16:00:00,85284.3,85502.7,82268.8
2025-03-30 16:00:00,83422.2,83932.0,81275.6
2025-03-29 16:00:00,82736.7,83537.7,81650.2
2025-03-28 16:00:00,82411.8,84625.7,82007.7
2025-03-27 16:00:00,84049.3,87721.1,83957.8
2025-03-26 16:00:00,86972.9,87762.5,85808.6
2025-03-25 16:00:00,86743.2,88544.7,86438.6
2025-03-24 16:00:00,87771.3,88533.8,86305.5
2025-03-23 16:00:00,88331.3,88764.8,84811.2
2025-03-22 16:00:00,85193.6,85264.5,83662.7
2025-03-21 16:00:00,84116.7,84584.8,83377.2
2025-03-20 16:00:00,83570.5,84909.1,83173.3
2025-03-19 16:00:00,84696.1,87443.1,83573.3
2025-03-18 16:00:00,84734.9,84895.1,81244.5
2025-03-17 16:00:00,81603.8,84755.0,81141.8
2025-03-16 16:00:00,83534.4,85144.8,81996.6
2025-03-15 16:00:00,83315.8,84488.4,82375.1
2025-03-14 16:00:00,84334.6,84956.5,83614.1
2025-03-13 16:00:00,84730.7,85305.4,79942.4
2025-03-12 16:00:00,81042.6,84334.8,80950.8
2025-03-11 16:00:00,81734.3,84478.9,80602.3
2025-03-10 16:00:00,81225.2,82241.3,76607.8
2025-03-09 16:00:00,80037.3,84049.5,79175.5
2025-03-08 16:00:00,83075.3,86514.9,82770.4
2025-03-07 16:00:00,86397.9,89038.9,85212.3
2025-03-06 16:00:00,88448.0,91280.2,84653.2
2025-03-05 16:00:00,90818.3,92811.0,87587.5
2025-03-04 16:00:00,88344.9,90928.6,82013.7
2025-03-03 16:00:00,82980.3,90995.8,81497.1
2025-03-02 16:00:00,90026.5,95013.3,87309.3
